information ecosystem
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
6.720732700519046E-11
6.720732700519046E-11
6.720732700519046E-11
4.04024821535184E-10
4.04024821535184E-10
4.04024821535184E-10
4.671499576058835E-10
3.9994263060069303E-10
3.9994263060069303E-10
3.9994263060069303E-10
6.312513607069953E-11
6.312513607069953E-11
6.312513607069953E-11
0.0
0.0
0.0
0.0
8.784849831704783E-11
2.1241752008143473E-10
2.1241752008143473E-10
2.1241752008143473E-10
3.3772245317769436E-10
4.1032816826864453E-10
4.1032816826864453E-10
3.717761495484037E-10
3.0942068351969E-10
4.457063805331428E-10
6.770784528280821E-10
7.150434887050393E-10
1.0677520375804557E-9
3.0924063230765496E-9
3.5316176491154547E-9
3.788519240385416E-9
4.262470317182933E-9
4.530704490151345E-9
4.714031248687078E-9
4.565885764711603E-9
3.037345771720165E-9
2.973644293765195E-9
3.121611946710345E-9
2.8341005792187346E-9
information environment
0.0
0.0
0.0
3.39629277082817E-10
3.39629277082817E-10
3.39629277082817E-10
3.39629277082817E-10
3.39629277082817E-10
3.39629277082817E-10
4.2366404035781054E-10
8.40347632749935E-11
8.40347632749935E-11
8.40347632749935E-11
1.208526247330001E-9
1.208526247330001E-9
1.208526247330001E-9
1.1904992428376661E-9
1.248697994211361E-9
2.150962971228917E-9
2.731340050957495E-9
2.2065751210347577E-9
4.904376658755792E-9
5.276234600020453E-9
5.485592063925182E-9
7.440849075779354E-9
7.776065454244219E-9
8.302674222740843E-9
1.0907264849250151E-8
1.2174695715857658E-8
1.598337109292342E-8
2.0578060007976036E-8
2.2101187778709808E-8
2.4249658588699448E-8
3.071872417746504E-8
3.392160825843593E-8
3.266938146792179E-8
4.039212514858218E-8
4.34012753315814E-8
4.862542461934817E-8
5.983122656047106E-8
6.216305914860268E-8
7.09461358708704E-8
7.945783782920784E-8
8.018066780761985E-8
8.622776583628549E-8
8.809670116024673E-8
8.666774043272366E-8
9.040475804475026E-8
8.909454610977236E-8
9.091945207024514E-8
9.720713367578071E-8
1.0042360708086204E-7
1.0814866029702181E-7
1.1330775963523467E-7
1.2018142750821627E-7
1.2118147869293644E-7
1.246493440370295E-7
1.2438862403588556E-7
1.2647407388044485E-7
1.2600959431452455E-7
1.2715372501740217E-7
1.2314853188786857E-7
1.2291724713461454E-7
1.2526707230239455E-7
1.278972075310517E-7
1.2263704455918655E-7
1.2220460322380036E-7
1.1939309108033314E-7
1.2034295518437155E-7
